j;Ptz;t;K;DA;DB;DC;DD;Y;Pt;Pe;Zg;Zw;PtA;PtB;PtC;PtD;PtS;E;PeA;PeB;PeC;PeD;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
1566.0;475.4;-0.4;171.3;1.0;1.0;1.0;1.0;40080.987;475.4;312.478;305.94;3147.042;50.85;88.526;139.001;194.273;-2.751;388.259;45.453;105.0;66.0;96.025;305.94;1115.079;857.073;1174.89;0;0;0;0
1567.0;454.5;-1.0;170.7;1.0;1.0;1.0;1.0;38049.653;454.5;282.453;305.94;2858.655;50.85;122.769;139.0;139.0;-2.881;385.378;45.453;105.0;66.0;66.0;305.94;1144.515;857.07;857.07;0;0;0;0
1568.0;439.2;-0.4;171.9;1.0;1.0;1.0;1.0;36367.631;439.2;302.045;305.94;3022.105;50.85;71.663;139.0;175.066;-2.62;382.757;45.453;105.0;66.0;85.592;305.94;1100.584;857.07;1064.451;0;0;0;0
1569.0;431.7;0.7;181.6;1.0;1.0;1.0;1.0;38441.479;431.7;298.045;305.94;2981.464;50.85;73.636;139.0;167.703;-0.511;382.246;45.453;105.0;66.0;81.592;305.94;1102.279;857.07;1022.115;0;0;0;0
1570.0;418.6;2.3;184.7;1.0;1.0;1.0;1.0;37924.464;418.6;282.453;305.94;2830.412;50.85;89.913;139.0;139.0;0.163;382.409;45.453;105.0;66.0;66.0;305.94;1116.271;857.07;857.07;0;0;0;0
1571.0;352.9;4.0;186.6;1.0;1.0;1.0;1.0;30353.95;352.9;310.83;305.94;3064.131;50.85;0.0;139.0;163.626;0.576;382.986;45.453;120.0;66.0;79.377;305.94;1208.39;857.07;998.671;0;0;0;0
1572.0;231.6;5.4;186.6;1.0;1.0;1.0;1.0;20580.554;231.6;254.324;305.358;2269.851;50.758;0.001;0.0;181.417;0.576;383.562;45.283;120.0;0.0;89.041;305.358;1168.881;0.0;1100.969;0;0;0;0
1573.0;207.1;6.5;184.9;1.0;1.0;1.0;1.0;16578.231;207.1;240.487;303.757;2167.819;50.505;0.0;-0.0;156.802;0.207;383.768;44.817;120.0;0.0;75.67;303.757;1208.39;0.0;959.429;0;0;0;0
1574.0;201.8;7.5;184.7;1.0;1.0;1.0;1.0;15908.724;201.8;237.29;302.301;2138.417;50.275;0.0;-0.0;151.688;0.163;383.931;44.397;120.0;0.0;72.892;302.301;1208.39;0.0;930.027;0;0;0;0
1575.0;251.8;7.9;183.7;1.0;1.0;1.0;1.0;21171.269;251.8;264.215;301.718;2425.195;50.183;0.0;0.0;201.563;-0.054;383.877;44.23;120.0;0.0;99.985;301.718;1208.39;0.0;1216.805;0;0;0;0
