j;Ptz;t;K;DA;DB;DC;DD;Y;Pt;Pe;Zg;Zw;PtA;PtB;PtC;PtD;PtS;E;PeA;PeB;PeC;PeD;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
5364.0;52.6;12.8;236.7;1.0;1.0;1.0;1.0;-2427.168;52.6;117.255;0.0;1202.858;0.0;32.6;0.0;0.0;-20;615.3;0.0;117.255;-0.0;-0.0;0.0;1202.858;0.0;0.0;0;0;0;12000
5365.0;56.4;12.9;242.3;1.0;1.0;1.0;1.0;-1402.059;56.4;116.935;0.0;1205.165;-0.0;36.4;0.0;0.0;-20;595.3;0.0;116.935;-0.0;-0.0;0.0;1205.165;0.0;0.0;0;0;0;12000
5366.0;57.7;13.9;227.6;1.0;1.0;1.0;1.0;-2992.083;57.7;116.826;0.0;1205.894;-0.0;37.7;0.0;0.0;-20;575.3;0.0;116.826;-0.0;-0.0;0.0;1205.894;0.0;0.0;0;0;0;12000
5367.0;53.3;14.9;250.1;1.0;1.0;1.0;1.0;11865.448;53.3;204.632;0.0;2223.175;0.0;-0.0;0.0;173.3;120;695.3;0.0;120.0;-0.0;84.632;0.0;1168.88;0.0;1054.295;0;0;0;0
5368.0;49.5;13.8;242.4;1.0;1.0;1.0;1.0;9944.877;49.5;117.516;0.0;1200.77;-0.0;29.5;0.0;0.0;-20;675.3;-0.0;117.516;0.0;-0.0;0.0;1200.77;0.0;0.0;0;0;0;0
5369.0;51.8;14.2;243.4;1.0;1.0;1.0;1.0;10281.664;51.8;117.322;0.0;1202.337;-0.0;31.8;0.0;0.0;-20;655.3;0.0;117.322;-0.0;-0.0;0.0;1202.337;0.0;0.0;0;0;0;0
5370.0;43.7;14.3;226.8;1.0;1.0;1.0;1.0;-4439.171;43.7;118.004;0.0;1196.326;-0.0;23.7;-0.0;-0.0;-20;635.3;0.0;118.004;-0.0;0.0;0.0;1196.326;0.0;0.0;0;0;0;12000
5371.0;34.6;13.9;241.9;1.0;1.0;1.0;1.0;-3476.529;34.6;118.771;0.0;1187.748;-0.0;14.6;0.0;0.0;-20;615.3;-0.0;118.771;0.0;-0.0;0.0;1187.748;0.0;0.0;0;0;0;12000
5372.0;37.7;13.3;217.5;1.0;1.0;1.0;1.0;-6094.061;37.7;118.51;0.0;1190.909;-0.0;17.7;0.0;0.0;-20;595.3;-0.0;118.51;0.0;-0.0;0.0;1190.909;0.0;0.0;0;0;0;12000
5373.0;34.1;12.8;262.8;1.0;1.0;1.0;1.0;6523.689;34.1;194.202;0.0;2112.775;0.0;-0.0;0.0;154.1;120;715.3;0.0;120.0;-0.0;74.202;0.0;1168.88;0.0;943.895;5000;0;0;0
5374.0;42.1;12.3;248.3;1.0;1.0;1.0;1.0;10774.648;42.1;151.559;250.553;1168.88;42.1;-0.0;0.0;-0.0;0;715.3;31.559;120.0;0.0;-0.0;250.553;1168.88;0.0;0.0;0;0;0;0
5375.0;44.5;12.2;274.6;1.0;1.0;1.0;1.0;15511.704;44.5;154.928;265.745;1168.88;44.5;0.0;0.0;0.0;0;715.3;34.928;120.0;0.0;-0.0;265.745;1168.88;0.0;0.0;0;0;0;0
5376.0;52.1;11.9;257.2;1.0;1.0;1.0;1.0;14660.304;52.1;162.352;295.895;1173.122;49.263;2.837;0.0;0.0;0;715.3;42.591;119.761;0.0;-0.0;295.895;1173.122;0.0;0.0;0;0;0;0
5377.0;54.0;11.5;191.5;1.0;1.0;1.0;1.0;4413.996;54.0;117.137;0.0;1203.739;-0.0;34.0;0.0;0.0;-20;695.3;0.0;117.137;0.0;-0.0;0.0;1203.739;0.0;0.0;0;0;0;0
5378.0;55.4;11.4;226.8;1.0;1.0;1.0;1.0;8686.636;55.4;117.019;0.0;1204.584;0.0;35.4;0.0;-0.0;-20;675.3;0.0;117.019;-0.0;-0.0;0.0;1204.584;0.0;0.0;0;0;0;0
5379.0;43.4;11.4;180.7;1.0;1.0;1.0;1.0;2091.592;43.4;118.03;0.0;1196.076;-0.0;23.4;0.0;-0.0;-20;655.3;0.0;118.03;0.0;-0.0;0.0;1196.076;0.0;0.0;0;0;0;0
5380.0;25.6;11.5;221.4;1.0;1.0;1.0;1.0;-6689.329;25.6;119.528;0.0;1176.968;-0.0;5.6;0.0;0.0;-20;635.3;0.0;119.528;0.0;0.0;0.0;1176.968;0.0;0.0;0;0;0;12000
5381.0;27.6;11.7;195.6;1.0;1.0;1.0;1.0;-9600.553;27.6;119.36;0.0;1179.586;-0.0;7.6;0.0;0.0;-20;615.3;-0.0;119.36;-0.0;0.0;0.0;1179.586;0.0;0.0;0;0;0;12000
5382.0;28.4;11.9;220.3;1.0;1.0;1.0;1.0;-6584.203;28.4;119.293;0.0;1180.596;-0.0;8.4;0.0;-0.0;-20;595.3;-0.0;119.293;-0.0;-0.0;0.0;1180.596;0.0;0.0;0;0;0;12000
5383.0;25.6;12.8;266.1;1.0;1.0;1.0;1.0;10847.498;25.6;189.585;0.0;2063.9;0.0;-0.0;0.0;145.6;120;715.3;0.0;120.0;-0.0;69.585;0.0;1168.88;0.0;895.02;0;0;0;0
5384.0;26.6;13.6;223.6;1.0;1.0;1.0;1.0;5657.23;26.6;119.444;0.0;1178.294;-0.0;6.6;0.0;0.0;-20;695.3;-0.0;119.444;0.0;0.0;0.0;1178.294;0.0;0.0;0;0;0;0
5385.0;29.6;14.2;234.5;1.0;1.0;1.0;1.0;7211.358;29.6;119.192;0.0;1182.072;-0.0;9.6;0.0;0.0;-20;675.3;0.0;119.192;-0.0;-0.0;0.0;1182.072;0.0;0.0;0;0;0;0
5386.0;41.8;15.1;234.7;1.0;1.0;1.0;1.0;3317.314;41.8;118.164;0.0;1194.706;0.0;21.8;-0.0;-0.0;-20;655.3;0.0;118.164;-0.0;-0.0;0.0;1194.706;0.0;0.0;5000;0;0;0
